"","x"
"1",150.803058073043
"2",152.212157985795
"3",151.49405248214
"4",150.681538008738
"5",151.015483793256
"6",151.058968727385
"7",152.245292998921
"8",154.328365847824
"9",154.992113201566
"10",151.473198624005
"11",148.658871204508
"12",149.424756611563
"13",149.767231883259
"14",152.794192439698
"15",156.324848038653
"16",155.477119851156
"17",148.647518727424
"18",144.289745496978
"19",145.150920817011
"20",145.12823084711
"21",150.980010935047
"22",155.189679394923
"23",152.317023073039
"24",141.419120413005
"25",135.882693514301
"26",137.350925208889
"27",136.383963831145
"28",145.793432138685
"29",151.982850795014
"30",146.451949845148
"31",130.459343652392
"32",122.220248265799
"33",123.961949255257
"34",123.763401895883
"35",137.009704212524
"36",143.943229474957
"37",135.926888651634
"38",117.264861968805
"39",108.5756258285
"40",109.742560490074
"41",110.609543667161
"42",129.015897434228
"43",135.498433737879
"44",124.319762023985
"45",104.651952793406
"46",95.2690094898248
"47",94.2948766258179
"48",94.3747778650689
"49",117.530276952666
"50",123.777615116509
"51",109.885106442991
"52",88.1161516200422
"53",78.2528715017271
"54",76.0875643448257
"55",75.5722547087645
"56",102.502376649638
"57",108.084972438205
"58",92.6713216031493
"59",69.4089363662271
"60",58.8445402867229
"61",56.1346866228142
"62",56.9125192330143
"63",87.4093489934046
"64",93.0678260114596
"65",76.5178045978842
"66",52.3586805364069
"67",41.3287815515171
"68",38.3425045142955
"69",40.6918582536689
"70",74.431563922498
"71",81.057905473243
"72",63.983756506837
"73",38.4574812055909
"74",27.3143245393603
"75",24.7832340901506
"76",29.5285918492308
"77",64.8174999206521
"78",71.9691159784741
"79",54.210164373911
"80",26.1433828516796
"81",14.0297204847217
"82",10.9549172322351
"83",17.5241663239966
"84",52.463780818189
"85",59.9707245402212
"86",43.1761032523238
"87",12.848346394713
"88",0.0175293936772221
"89",-4.03357918418413
"90",3.83155943532461
"91",38.6530322670911
"92",47.9322655998464
"93",32.0472850662867
"94",0.789780422681531
"95",-12.1566170529407
"96",-16.5480348963593
"97",-6.29142400434176
"98",28.7152111521469
"99",39.0312361808194
"100",22.9798460615545
"101",-10.0925300640145
"102",-23.8893716384379
"103",-28.8760499571789
"104",-15.8170042199157
"105",21.4887638607385
"106",33.2682270342061
"107",17.4892810570652
"108",-16.7277095522143
"109",-32.4315777924468
"110",-38.7778609648728
"111",-21.0099702551068
"112",18.8186881698364
"113",32.9642821020096
"114",16.062615328085
"115",-19.3456124549589
"116",-36.3703197787994
"117",-44.0172975294626
"118",-20.9652276725028
"119",21.1455492517277
"120",37.5749517702712
"121",19.4140831504282
"122",-16.2960239358964
"123",-35.5547569863598
"124",-44.6219493873317
"125",-17.3073481574133
"126",25.2565601967262
"127",43.7144830974596
